total_fundedbyinsti,total_admitted_stu,ESCS
2949,6272,7.91
19,2158,7.95
563,6617,4.57
2454,5498,7.87
2969,9604,5.1
2037,5820,6.7
663,4797,1.9
2424,5014,7.29
457,1576,3.06
2077,4944,10.39
1682,5233,8.15
,,0.12
2924,6041,8.89
2102,4445,7.73
1468,5458,6.46
219,1309,3.16
0,11058,3.52
0,1808,2.71
873,11241,1.28
521,1386,6.91
681,5179,4.25
504,1715,5.89
154,1036,4.5
,,0.82
51,920,0.51
,,8.98
,,1.22
,,0.79
,,0.05
502,1677,5.72
,,9.29
0,3894,3.52
457,1432,5.22
1793,3614,9.98
,,2.04
,,6.69
139,2210,4.76
1440,3515,7.31
,,7.23
0,2829,3.28
,,0.62
,,1.73
,,4.16
272,13320,0.26
,,4.51
1369,4272,7.03
2001,4938,7.86
625,3988,3.96
190,784,2.84
0,4692,3.55
,,4.27
2185,4486,8.32
21,3095,0.86
,,2.16
,,1.56
384,901,8.29
156,6131,2.51
358,3974,3.28
73,296,1.51
485,697,12.16
,,0.01
55,1537,0.5
,,0.65
,,1.84
1979,3953,8.9
1839,2961,11.2
,,1.78
281,670,6.4
19,2158,0.56
1730,4396,8.92
2,415,0
241,3841,5.44
356,4720,3.28
27,1536,1.26
55,4995,0.15
0,6056,4.79
,,4.71
33,860,2.19
113,5393,1.23
,,8.42
19,1025,0
531,,7.47
43,5861,1.84
,,5.56
133,3705,2.44
,,2.43
205,3108,1.63
0,695,2.32
0,5536,0.91
0,3186,3.16
536,4132,6.08
342,3263,1.81
381,1795,3.31
27,4146,0.21
,,6.9
116,1372,1.28
306,3597,2.55
,,5.82
,,3.75
299,5992,1.47
202,2250,2.1
,,0.03
,,3.7
94,2996,5.55
178,2005,1.46
68,3901,1.39
204,4435,0.19
285,752,8.94
,,0.79
,,5.75
37,4351,3.41
,,0.35
,,2.73
51,920,0.76
,,1.44
,,0.91
,,6.61
270,6400,1.01
48,3457,6.3
60,1315,3.42
,,2.07
356,4720,3.17
0,1623,0.8
,,3.81
,,0.6
25,953,3.13
,,1.41
0,3765,1.92
0,6056,3.5
,,4.17
620,3256,4.17
,,10.54
89,860,1.5
227,1859,3.76
0,3096,0
615,1021,11.31
0,2856,5.79
36,1683,0.29
,,2.91
0,1752,3.99
,,4.67
,,2.02
229,2861,2.65
73,1566,0.34
,,2.15
,,0.89
,,2.56
,,3.96
,,4.99
,,7.87
,,2.95
,,2
,,0.27
53,3003,0.01
0,1328,2.19
,,4.7
619,4808,1.05
,,4.67
,,2.44
0,3065,3.74
179,2309,3.51
10,3912,2.36
,,4.93
,,0.23
,,4.6
282,5165,3.65
0,1237,1.32
,,2.95
73,2565,2.31
51,4945,2.73
370,689,8.76
0,1311,0.81
0,716,5.68
483,4075,3.91
57,4585,8.45
,,1.49
0,1912,0.39
120,2463,3.06
99,3240,0.56
,,1.57
174,3553,8.89
,,2.95
,,1.32
,,3.99
,,5.19
351,5294,1.43
,,2.75
,,4.75
,,0.34
16,1343,0.44
16,1343,0.95
,,0.95
,,1.84
0,756,0
,,2.26
,,0.71
6,2965,0.52
,,8.08
0,3604,1.98
82,4415,2.81
