tot_phd_full_grad,tot_phd_part_grad,GPHD
732,9,17.2
46,0,16.11
531,257,14.92
640,13,16.23
1066,0,20
642,96,16.26
624,96,15.94
309,110,11.35
109,9,7.03
317,52,11.51
348,0,12.1
,,14.41
278,0,10.7
240,134,9.83
330,0,11.76
228,4,9.54
312,252,11.41
264,18,10.39
43,62,2.83
129,10,6.61
221,36,9.36
84,0,4.85
149,3,7.29
,,7.49
17,36,5.15
,,6.79
,,8.42
,,8.31
,,5.84
80,6,4.67
,,10.44
181,29,8.28
125,15,6.47
171,116,7.98
,,5.5
,,5.6
104,2,5.68
143,45,7.1
,,6.22
278,0,10.7
,,6.25
,,9.18
,,2.37
103,205,5.64
,,5.72
171,82,7.98
199,49,8.78
82,95,4.76
12,178,0.89
69,105,4.16
,,2.77
96,44,5.36
93,58,5.23
,,4.93
,,3.37
1,0,0.08
40,139,2.66
117,132,6.18
65,0,8.42
25,9,1.76
,,0.46
37,9,2.49
,,4.3
,,1.69
101,62,5.56
90,10,5.11
,,1.95
1,0,0.08
46,0,2.99
57,104,3.57
44,47,2.88
17,54,1.23
9,107,0.68
31,33,2.43
6,44,0.46
54,836,3.42
,,7.26
23,0,1.63
59,0,3.67
,,3.52
8,11,0.6
72,0,4.3
14,48,1.03
,,0.46
53,95,3.37
,,0.82
42,43,2.77
25,0,1.76
5,72,0.38
46,17,2.99
0,23,0
46,0,2.99
58,0,3.62
36,39,2.43
,,2.88
5,17,0.38
10,33,0.75
,,0
,,1.5
3,5,0.23
76,0,3.05
,,1.88
,,0.96
14,88,1.03
21,36,1.5
27,53,1.88
27,96,1.88
34,8,2.31
,,0.08
,,1.3
75,12,4.44
,,0.46
,,0
17,36,1.23
,,6.14
,,0.53
,,0.68
10,56,0.75
34,39,2.31
33,11,2.25
,,0.53
9,107,0.16
27,27,1.88
,,0
,,2.31
34,0,0.08
,,1.76
46,24,2.99
54,836,1.37
,,1.3
33,1,2.25
,,0.23
13,35,0.96
18,7,1.3
19,0,1.37
4,5,0.31
84,6,4.85
50,28,3.21
,,0
0,0,0
,,0
,,0.89
,,1.23
5,0,1.03
,,0
,,8
,,0.46
,,0
,,3.1
,,3.62
,,1.1
,,1.1
,,0.16
0,53,0
0,0,0
,,0.38
31,75,2.66
,,1.57
,,0.6
34,63,2.31
0,0,0
0,0,0
,,0
,,0.96
,,0
0,0,0
5,0,0.38
,,4.26
2,60,0.16
0,0,0
15,12,1.1
0,0,0
1,6,0.08
19,84,1.37
2,9,0
,,0.16
17,9,1.23
29,47,2.01
23,17,1.63
,,0
0,38,0
,,1.63
,,0.82
,,1.69
,,0
6,24,0.46
,,0.08
,,0
,,0.6
17,24,0.53
17,24,1.23
,,0
,,2.31
20,1,1.43
,,0
,,0
16,0,1.47
,,0.38
1,5,0.08
0,5,0
