patent_grant,patent_publish,IPR
476,212,15
10,0,15
320,205,15
192,91,12
44,12,10
79,13,7
90,5,5
,,4
68,9,7
32,11,6
11,10,3
,,9
100,3,5
28,4,3
32,5,3
29,1,2
75,16,7
115,167,13
42,24,8
30,8,4
11,16,3
26,4,2
13,1,1.5
,,9
39,2,11
,,3
,,6
,,4.5
,,3
22,5,3
,,3
53,33,9
25,3,2
14,4,2
,,0.5
,,1
23,7,3
30,7,4
,,4
6,6,1.5
,,2
,,5
,,2
174,2,5
,,11
16,5,3
13,1,1.5
30,1,2.5
28,16,1
11,8,3
,,9
4,1,0.5
2,6,0.5
,,3
,,2
1,1,0
33,6,1.5
8,13,4.5
2,0,0.5
1,0,0
,,5
8,6,2.5
,,1
,,4
9,6,1.5
9,5,1.5
,,2.5
0,0,0
10,0,0.5
7,5,2.5
17,21,2
23,9,2
132,2,5
3,1,0.5
30,1,2.5
35,20,3
,,1.5
5,2,0.5
3,0,0
,,2
13,5,2
9,0,0.5
26,7,4
,,4
26,3,2
,,0.5
10,2,1.5
2,0,0
23,3,2
6,0,0.5
50,0,3
13,2,2
9,0,0.5
10,1,1.5
,,2
17,4,2
3,0,0
,,1
,,4
20,3,2
11,0,1.5
,,5
,,2
32,1,3
47,10,2
12,27,1
48,1,2.5
1,0,0
,,2
,,0.5
7,0,0.5
,,0
,,6
39,2,2
,,6
,,4
,,2
4,1,0.5
28,1,0.5
35,7,2
,,4
132,2,3
8,5,0.5
,,1
,,4
138,0,0.5
,,1
7,0,0.5
35,20,1
,,4
10,1,1.5
,,1.5
11,1,1.5
0,0,0
13,9,2
3,3,2
12,1,0.5
10,14,4.5
,,6
3,0,1
,,5
,,4
6,7,2.5
50,18,5
,,1
,,2.5
,,6
,,3
,,0.5
,,0.5
,,0
,,6
,,0.5
27,2,0
4,0,3
,,3.5
183,20,5
,,1.5
,,2.5
3,2,0.5
7,7,0.5
61,7,4
,,6
,,4
,,5
3,1,0
56,0,3
,,1
30,0,2
26,0,1
22,7,3
9,2,1.5
0,0,0
10,2,1.5
19,2,2
,,2
7,0,0
3,1,0.5
10,0,1
,,3
34,5,3
,,0
,,2
,,0
,,6
113,4,5
,,4
,,4
,,2
32,8,0.5
32,8,4
,,2
,,1
4,0,0
,,3
,,1
6,4,0.5
,,1
3,0,0
21,4,2
