total_outstate,total_outco,total_admitted_stu,RD
5190,54,6272,21.6
786,105,2158,23.7
4719,81,6617,18.74
4599,4,5498,21.64
8181,32,9604,21.09
5475,145,5820,24.44
4547,10,4797,23.51
3135,108,5014,16.69
1029,10,1576,16.82
3168,43,4944,16.78
1385,21,5233,6.15
,,,18.14
4368,5,6041,17.31
4042,28,4445,18.67
3020,300,5458,15.66
1105,3,1309,17.76
169,181,11058,0.65
522,2,1808,7.28
7980,52,11241,18.46
1339,2,1386,21.11
2814,344,5179,15.69
1574,7,1715,23.11
837,5,1036,21
,,,19.46
403,17,920,14.31
,,,21.79
,,,18.32
,,,14.06
,,,21.45
1338,5,1677,20.13
,,,13.24
2036,83,3894,13.16
1058,1,1432,16.78
2008,80,3614,14.26
,,,14.29
,,,23.23
468,37,2210,5.89
1895,72,3515,14.27
,,,17.11
1460,27,2829,11.23
,,,9.67
,,,25.44
,,,19.67
5295,289,13320,10.37
,,,24.97
2264,14,4272,11.77
2451,112,4938,13.11
440,48,3988,3.15
75,0,784,1.93
2738,78,4692,15.03
,,,24.55
2652,18,4486,14.68
1562,68,3095,11.11
,,,17.25
,,,19.19
606,1,901,17.41
327,10,6131,1.36
2036,223,3974,12.64
270,5,296,21.63
366,29,697,12.67
,,,21.43
1164,110,1537,17.81
,,,10.37
,,,18.75
1983,9,3953,11.77
1524,3,2961,12.81
,,,8.46
529,4,670,17.41
786,105,2158,9.94
2220,95,4396,12.65
217,6,415,6.81
156,197,3841,2.32
192,15,4720,1.13
301,37,1536,5.66
4159,86,4995,19.34
266,198,6056,1.79
,,,2.34
734,19,860,21.34
943,162,5393,5.1
,,,12.33
927,3,1025,23.45
1404,12,,20.79
1066,408,5861,6.42
,,,19.43
70,0,3705,0.49
,,,7.71
1639,73,3108,12.9
494,24,695,17.31
1420,21,5536,6.72
1763,26,3186,13.38
1027,5,4132,6.64
2605,0,3263,15.88
1333,32,1795,18.12
1722,0,4146,8.07
,,,5.21
545,3,1372,9.4
451,53,3597,3.38
,,,14.84
,,,6.18
852,83,5992,5.05
564,1,2250,8.76
,,,8.11
,,,3.32
46,0,2996,0.37
1228,12,2005,13.59
252,164,3901,2.71
2248,2,4435,9.59
367,0,752,2
,,,0.67
,,,0.55
109,0,4351,0.59
,,,20.05
,,,1.72
403,17,920,11.59
,,,15.1
,,,6.6
,,,7.31
66,0,6400,0.24
642,157,3457,5.92
155,0,1315,2.98
,,,10.38
192,15,4720,1.94
433,6,1623,6.24
,,,1.16
,,,11.27
426,16,953,3
,,,19.23
2073,15,3765,13.07
266,198,6056,1.09
,,,0.24
2502,0,3256,18.02
,,,11.66
417,1,860,11.25
321,46,1859,4.93
1250,6,3096,10.08
649,68,1021,17.92
238,0,2856,1.93
1004,36,1683,11.52
,,,19.74
0,0,1752,7.46
,,,0.16
,,,4.83
698,2,2861,6.32
1099,42,1566,15.3
,,,9.79
,,,4.8
,,,11.79
,,,1.16
,,,0.73
,,,3.55
,,,18.3
,,,6.52
,,,4.44
747,0,3003,7.77
385,37,1328,6
,,,20.02
657,15,4808,3.41
,,,1.76
,,,2.41
27,0,3065,0.21
1183,0,2309,12.73
168,5,3912,1.14
,,,4.08
,,,15.46
,,,0.71
459,97,5165,2.68
22,0,1237,0.46
,,,18.28
8,0,2565,0.08
1127,0,4945,5.78
452,0,689,12.3
1268,0,1311,25
499,1,716,15.22
138,48,4075,1
418,0,4585,5.41
,,,2.36
310,0,1912,3.73
2119,0,2463,21.91
1979,36,3240,15.31
,,,6.14
42,0,3553,0.25
,,,11.73
,,,10.16
,,,18.93
,,,0.62
891,20,5294,4.17
,,,2.7
,,,1.87
,,,14.64
682,192,1343,7.82
682,192,1343,10.92
,,,6.48
,,,5.31
460,27,756,13.12
,,,5.9
,,,2.17
47,0,2965,0.41
,,,5.13
962,145,3604,7.89
935,0,4415,4.94
