total_sanc_intake_y1,total_sanc_intake_y2,total_sanc_intake_y3,total_sanc_intake_y4,total_sanc_intake_y5,total_sanc_intake_y6,total_admitted_stu,phd_full_stu,phd_part_stu,SS
1799,1599,1091,838,372,0,6272,2168,36,18.5
774,724,426,382,0,0,2158,242,0,18.5
2086,1741,897,871,154,0,6617,2069,342,18.5
1837,1817,910,827,0,0,5498,1936,29,18.5
3988,2775,1355,1301,645,0,9604,2408,0,19.31
2079,1811,1013,945,90,0,5820,2100,244,18.23
1863,1700,780,690,0,0,4797,1748,177,16.45
1652,1546,768,768,0,0,5014,685,282,17.5
555,507,312,240,0,0,1576,494,123,11
1319,1319,740,740,0,0,4944,711,223,16
1786,1786,1233,1143,0,0,5233,1129,0,15.96
,,,,,,,,,18.6
2118,1880,1167,1090,275,0,6041,1152,6,17.49
1974,1653,1007,912,88,0,4445,502,391,14.65
1859,1640,807,770,160,0,5458,1069,233,18.5
595,482,275,260,0,0,1309,500,19,10.09
3935,4168,2740,2740,0,0,11058,1148,946,17.21
716,603,331,211,0,0,1808,278,40,10.29
4108,3672,2100,2100,0,0,11241,239,498,17
676,616,200,150,0,0,1386,286,19,9.33
1633,1692,817,800,0,0,5179,457,220,16.5
585,584,317,272,10,0,1715,662,78,11.28
285,353,194,180,0,0,1036,,,11.5
,,,,,,,,,18.3
295,315,160,155,10,0,920,121,131,14.72
,,,,,,,,,10.5
,,,,,,,,,17.11
,,,,,,,,,16.51
,,,,,,,,,17.43
726,571,247,180,0,0,1677,486,23,10.3
,,,,,,,,,16.64
1305,1305,860,684,0,0,3894,459,35,14.25
698,593,250,225,0,0,1432,509,68,10.58
1270,1142,710,657,0,0,3614,352,307,13.04
,,,,,,,,,18.07
,,,,,,,,,11.7
681,681,365,385,0,0,2210,309,29,12
1133,1133,660,632,0,0,3515,501,140,14.37
,,,,,,,,,16.24
1166,1087,589,566,13,0,2829,797,0,12.68
,,,,,,,,,16.17
,,,,,,,,,19
,,,,,,,,,7.23
3504,4020,3180,3180,0,0,13320,223,493,16.39
,,,,,,,,,18
1613,1925,746,716,0,0,4272,540,293,15.53
1669,1534,954,886,0,0,4938,449,122,16.22
960,960,960,900,0,0,3988,243,242,12.5
441,475,0,0,0,0,784,80,217,7.26
1656,1488,862,832,0,0,4692,221,216,13.64
,,,,,,,,,18
1613,1493,807,786,0,0,4486,298,141,14.46
1103,1121,780,780,0,0,3095,300,47,11.59
,,,,,,,,,15.09
,,,,,,,,,15.5
318,282,181,120,0,0,901,112,0,8
1795,1795,1320,1320,180,0,6131,148,269,14.91
1561,1376,844,818,0,0,3974,534,324,14.37
96,96,60,60,0,0,296,43,0,12.68
253,250,150,150,0,0,697,103,59,7.21
,,,,,,,,,13.07
490,506,330,356,160,0,1537,108,60,8.26
,,,,,,,,,12.97
,,,,,,,,,12.95
1337,1217,928,893,0,0,3953,369,209,13.84
941,835,672,632,0,0,2961,224,28,12.09
,,,,,,,,,12.57
288,220,163,120,0,0,670,89,12,6.08
774,724,426,382,0,0,2158,242,0,10.42
1599,1479,828,817,0,0,4396,300,79,14.17
448,398,0,0,0,0,415,68,82,3.94
1032,1014,570,570,0,0,3841,61,166,11.5
1278,1278,1080,1080,0,0,4720,16,158,12
581,319,240,180,0,0,1536,194,183,9.5
1810,1360,1178,1320,0,0,4995,58,193,12.9
2070,2012,1244,1244,0,0,6056,116,1849,14.44
,,,,,,,,,12.5
243,243,176,134,115,0,860,44,6,6.16
2162,1502,942,956,0,0,5393,214,0,15.09
,,,,,,,,,11.96
300,300,120,120,120,0,1025,41,45,8
,,,,,,,,,9.09
1686,1626,1260,1030,0,0,5861,69,161,14.5
,,,,,,,,,13.84
976,934,780,780,0,0,3705,97,130,11.5
,,,,,,,,,4.97
1040,999,697,687,0,0,3108,140,50,11.53
256,248,164,104,0,0,695,61,21,6.4
1384,1402,1060,1060,0,0,5536,22,291,13.5
1183,1013,657,601,0,0,3186,198,131,11.69
1650,966,780,780,60,0,4132,33,39,10.86
984,1409,906,889,53,0,3263,197,0,11.23
634,546,310,343,112,0,1795,208,15,8.92
1464,1500,1230,1230,90,0,4146,176,105,12.15
,,,,,,,,,14.11
420,456,330,300,0,0,1372,50,44,7.83
1026,1068,870,870,0,0,3597,29,98,10.35
,,,,,,,,,13.01
,,,,,,,,,12.98
1728,1584,1440,1320,0,0,5992,40,22,13.82
1047,757,405,270,90,0,2250,224,0,7.63
,,,,,,,,,13.01
,,,,,,,,,9.13
900,900,720,700,0,0,2996,56,139,10.77
660,588,600,510,0,0,2005,55,96,8.65
1350,996,780,660,0,0,3901,80,93,11.5
1168,1133,1240,1518,0,0,4435,93,279,10.87
255,255,180,180,0,0,752,135,25,7.19
,,,,,,,,,13.41
,,,,,,,,,12.5
1275,1284,1072,1072,36,0,4351,411,81,14.02
,,,,,,,,,5.55
,,,,,,,,,13.5
295,315,160,155,10,0,920,121,131,7.9
,,,,,,,,,12.69
,,,,,,,,,14.8
,,,,,,,,,10
1782,1989,1680,1680,0,0,6400,18,180,12.12
905,932,540,540,0,0,3457,69,115,11.5
403,343,300,300,0,0,1315,150,31,9.33
,,,,,,,,,12
1278,1278,1080,1080,0,0,4720,16,158,8.6
621,551,360,286,0,0,1623,194,40,8.7
,,,,,,,,,7.5
,,,,,,,,,9.06
297,255,260,200,0,0,953,108,0,12.5
,,,,,,,,,7.14
1343,1286,699,672,120,0,3765,235,32,11.76
2070,2012,1244,1244,0,0,6056,116,1849,10.48
,,,,,,,,,10.22
1044,1044,750,750,0,0,3256,194,1,11.53
,,,,,,,,,5.89
240,210,240,270,0,0,860,64,167,6.37
672,582,330,330,0,0,1859,50,12,8.28
615,775,720,800,310,0,3096,95,0,11.1
275,275,240,240,0,0,1021,87,39,8.43
922,922,670,670,0,0,2856,168,7,11.42
624,624,570,510,3,0,1683,52,49,7.5
,,,,,,,,,13.5
756,876,720,720,0,0,1752,0,0,13.5
,,,,,,,,,13.5
,,,,,,,,,14.5
786,762,540,420,0,0,2861,45,79,9.5
468,516,516,540,0,0,1566,26,0,13.7
,,,,,,,,,11
,,,,,,,,,10.5
,,,,,,,,,13.36
,,,,,,,,,13.5
,,,,,,,,,14
,,,,,,,,,9.53
,,,,,,,,,5.28
,,,,,,,,,9.52
,,,,,,,,,5.66
825,834,780,780,0,0,3003,5,114,7.62
643,276,240,240,0,0,1328,40,0,9.8
,,,,,,,,,14.5
1428,1398,1170,1200,0,0,4808,16,163,12.15
,,,,,,,,,12.07
,,,,,,,,,6.49
918,918,720,700,0,0,3065,39,101,10.38
747,576,540,540,0,0,2309,0,0,8.65
990,1008,900,900,0,0,3912,2,0,10.5
,,,,,,,,,10.36
,,,,,,,,,9.61
,,,,,,,,,13.17
1556,1436,1080,1020,0,0,5165,0,0,12
276,276,240,240,0,0,1237,54,0,8.5
,,,,,,,,,9
628,628,660,660,0,0,2565,15,40,8.96
1320,1320,1200,1200,0,0,4945,2,14,13.25
280,270,190,210,0,0,689,77,91,5.35
378,318,300,300,0,0,1311,0,0,7.5
217,217,200,215,0,0,716,47,17,5.56
1326,1326,1080,1020,0,0,4075,34,173,10.79
1304,1238,900,900,0,0,4585,7,55,8.65
,,,,,,,,,12
803,580,382,382,0,0,1912,93,52,9.01
680,680,570,570,0,0,2463,87,40,9.87
810,820,780,990,0,0,3240,48,89,10.51
,,,,,,,,,9.95
1170,1170,1020,1020,0,0,3553,9,120,9.73
,,,,,,,,,5.38
,,,,,,,,,11.57
,,,,,,,,,8.8
,,,,,,,,,13.5
1345,1590,1620,1080,0,0,5294,64,179,13.68
,,,,,,,,,13.5
,,,,,,,,,10.31
,,,,,,,,,7.24
414,555,540,540,0,0,1343,113,148,5.6
414,555,540,540,0,0,1343,113,148,7.9
,,,,,,,,,10.42
,,,,,,,,,13
257,284,209,207,0,0,756,49,12,5.24
,,,,,,,,,10.91
,,,,,,,,,13.5
714,684,630,630,0,0,2965,30,0,9.5
,,,,,,,,,9.36
876,876,720,660,0,0,3604,3,46,10.5
1338,1338,1200,1020,0,0,4415,1,2,10.82
